,request,abs number,rel number,date
0,сапсан москва санкт-петербург,34823.0,1.52952e-05,2021-05-09
1,сапсан москва санкт-петербург,35908.0,1.44236e-05,2021-05-16
2,сапсан москва санкт-петербург,39628.0,1.53191e-05,2021-05-23
3,сапсан москва санкт-петербург,43068.0,1.73128e-05,2021-05-30
4,сапсан москва санкт-петербург,48009.0,1.94574e-05,2021-06-06
5,сапсан москва санкт-петербург,51243.0,2.06488e-05,2021-06-13
6,сапсан москва санкт-петербург,38010.0,1.59466e-05,2021-06-20
7,сапсан москва санкт-петербург,31480.0,1.32481e-05,2021-06-27
8,сапсан москва санкт-петербург,31849.0,1.36394e-05,2021-07-04
9,сапсан москва санкт-петербург,33850.0,1.4704e-05,2021-07-11
10,сапсан москва санкт-петербург,36423.0,1.58767e-05,2021-07-18
11,сапсан москва санкт-петербург,43627.0,1.89237e-05,2021-07-25
12,сапсан москва санкт-петербург,44710.0,1.91652e-05,2021-08-01
13,сапсан москва санкт-петербург,45000.0,1.91982e-05,2021-08-08
14,сапсан москва санкт-петербург,44301.0,1.89401e-05,2021-08-15
15,сапсан москва санкт-петербург,43326.0,1.82803e-05,2021-08-22
16,сапсан москва санкт-петербург,40716.0,1.71012e-05,2021-08-29
17,сапсан москва санкт-петербург,33047.0,1.355e-05,2021-09-05
18,сапсан москва санкт-петербург,33707.0,1.36403e-05,2021-09-12
19,сапсан москва санкт-петербург,34522.0,1.33405e-05,2021-09-19
20,сапсан москва санкт-петербург,34199.0,1.28337e-05,2021-09-26
21,сапсан москва санкт-петербург,36287.0,1.39935e-05,2021-10-03
22,сапсан москва санкт-петербург,35047.0,1.3522e-05,2021-10-10
23,сапсан москва санкт-петербург,33991.0,1.25497e-05,2021-10-17
24,сапсан москва санкт-петербург,29106.0,1.06449e-05,2021-10-24
25,сапсан москва санкт-петербург,24152.0,9.09497e-06,2021-10-31
26,сапсан москва санкт-петербург,24848.0,9.7042e-06,2021-11-07
27,сапсан москва санкт-петербург,28420.0,1.00713e-05,2021-11-14
28,сапсан москва санкт-петербург,29729.0,1.03741e-05,2021-11-21
29,сапсан москва санкт-петербург,31046.0,1.08738e-05,2021-11-28
30,сапсан москва санкт-петербург,32541.0,1.14477e-05,2021-12-05
31,сапсан москва санкт-петербург,31770.0,1.10941e-05,2021-12-12
32,сапсан москва санкт-петербург,31776.0,1.09898e-05,2021-12-19
33,сапсан москва санкт-петербург,28759.0,1.0145e-05,2021-12-26
34,сапсан москва санкт-петербург,29508.0,1.2536e-05,2022-01-02
35,сапсан москва санкт-петербург,31005.0,1.28581e-05,2022-01-09
36,сапсан москва санкт-петербург,26880.0,9.5024e-06,2022-01-16
37,сапсан москва санкт-петербург,27382.0,9.39055e-06,2022-01-23
38,сапсан москва санкт-петербург,26011.0,8.7386e-06,2022-01-30
39,сапсан москва санкт-петербург,28368.0,9.30566e-06,2022-02-06
40,сапсан москва санкт-петербург,30714.0,9.84351e-06,2022-02-13
41,сапсан москва санкт-петербург,31229.0,1.0303e-05,2022-02-20
42,сапсан москва санкт-петербург,26710.0,9.18133e-06,2022-02-27
43,сапсан москва санкт-петербург,25505.0,8.71353e-06,2022-03-06
44,сапсан москва санкт-петербург,25950.0,9.15617e-06,2022-03-13
45,сапсан москва санкт-петербург,35062.0,1.18354e-05,2022-03-20
46,сапсан москва санкт-петербург,40829.0,1.41259e-05,2022-03-27
47,сапсан москва санкт-петербург,43224.0,1.49126e-05,2022-04-03
48,сапсан москва санкт-петербург,50794.0,1.73528e-05,2022-04-10
49,сапсан москва санкт-петербург,53832.0,1.87454e-05,2022-04-17
50,сапсан москва санкт-петербург,51123.0,1.7998e-05,2022-04-24
51,сапсан москва санкт-петербург,51087.0,1.8963e-05,2022-05-01
52,сапсан билеты,28141.0,1.23603e-05,2021-05-09
53,сапсан билеты,28588.0,1.14833e-05,2021-05-16
54,сапсан билеты,32202.0,1.24484e-05,2021-05-23
55,сапсан билеты,34739.0,1.39647e-05,2021-05-30
56,сапсан билеты,37489.0,1.51938e-05,2021-06-06
57,сапсан билеты,40704.0,1.6402e-05,2021-06-13
58,сапсан билеты,29134.0,1.22228e-05,2021-06-20
59,сапсан билеты,23820.0,1.00244e-05,2021-06-27
60,сапсан билеты,24277.0,1.03967e-05,2021-07-04
61,сапсан билеты,25945.0,1.12701e-05,2021-07-11
62,сапсан билеты,29430.0,1.28284e-05,2021-07-18
63,сапсан билеты,35336.0,1.53274e-05,2021-07-25
64,сапсан билеты,35993.0,1.54286e-05,2021-08-01
65,сапсан билеты,36910.0,1.57468e-05,2021-08-08
66,сапсан билеты,36435.0,1.55772e-05,2021-08-15
67,сапсан билеты,35963.0,1.51736e-05,2021-08-22
68,сапсан билеты,33701.0,1.41548e-05,2021-08-29
69,сапсан билеты,27386.0,1.12289e-05,2021-09-05
70,сапсан билеты,28613.0,1.15789e-05,2021-09-12
71,сапсан билеты,29085.0,1.12395e-05,2021-09-19
72,сапсан билеты,29458.0,1.10546e-05,2021-09-26
73,сапсан билеты,32768.0,1.26365e-05,2021-10-03
74,сапсан билеты,31976.0,1.23371e-05,2021-10-10
75,сапсан билеты,30396.0,1.12224e-05,2021-10-17
76,сапсан билеты,26502.0,9.69256e-06,2021-10-24
77,сапсан билеты,21863.0,8.233e-06,2021-10-31
78,москва питер билеты,10619.0,4.66416e-06,2021-05-09
79,москва питер билеты,10495.0,4.21566e-06,2021-05-16
80,москва питер билеты,11762.0,4.54687e-06,2021-05-23
81,москва питер билеты,13597.0,5.46583e-06,2021-05-30
82,москва питер билеты,15242.0,6.17737e-06,2021-06-06
83,москва питер билеты,17855.0,7.19481e-06,2021-06-13
84,москва питер билеты,13505.0,5.66585e-06,2021-06-20
85,москва питер билеты,11496.0,4.83798e-06,2021-06-27
86,москва питер билеты,12034.0,5.15359e-06,2021-07-04
87,москва питер билеты,13028.0,5.65918e-06,2021-07-11
88,москва питер билеты,14076.0,6.13568e-06,2021-07-18
89,москва питер билеты,16413.0,7.11934e-06,2021-07-25
90,москва питер билеты,16227.0,6.95579e-06,2021-08-01
91,москва питер билеты,16486.0,7.03337e-06,2021-08-08
92,москва питер билеты,16187.0,6.92048e-06,2021-08-15
93,москва питер билеты,14915.0,6.29299e-06,2021-08-22
94,москва питер билеты,14288.0,6.00111e-06,2021-08-29
95,москва питер билеты,10660.0,4.37085e-06,2021-09-05
96,москва питер билеты,10622.0,4.29843e-06,2021-09-12
97,москва питер билеты,11044.0,4.26779e-06,2021-09-19
98,москва питер билеты,11241.0,4.21837e-06,2021-09-26
99,москва питер билеты,11202.0,4.31988e-06,2021-10-03
100,москва питер билеты,11453.0,4.41885e-06,2021-10-10
101,москва питер билеты,11362.0,4.19491e-06,2021-10-17
102,москва питер билеты,10313.0,3.77177e-06,2021-10-24
103,москва питер билеты,9501.0,3.57781e-06,2021-10-31
104,москва питер билеты,10156.0,3.96635e-06,2021-11-07
105,москва питер билеты,9172.0,3.25031e-06,2021-11-14
106,москва питер билеты,9730.0,3.39535e-06,2021-11-21
107,москва питер билеты,9921.0,3.4748e-06,2021-11-28
108,москва питер билеты,10504.0,3.69523e-06,2021-12-05
109,москва питер билеты,11403.0,3.98194e-06,2021-12-12
110,москва питер билеты,11440.0,3.95656e-06,2021-12-19
111,москва питер билеты,12083.0,4.2624e-06,2021-12-26
112,москва питер билеты,14299.0,6.07469e-06,2022-01-02
113,москва питер билеты,13428.0,5.56874e-06,2022-01-09
114,москва питер билеты,9404.0,3.32442e-06,2022-01-16
115,москва питер билеты,9776.0,3.35264e-06,2022-01-23
116,москва питер билеты,9693.0,3.25644e-06,2022-01-30
117,москва питер билеты,10741.0,3.52341e-06,2022-02-06
118,москва питер билеты,10862.0,3.48116e-06,2022-02-13
119,москва питер билеты,11470.0,3.78415e-06,2022-02-20
120,москва питер билеты,10402.0,3.5756e-06,2022-02-27
121,москва питер билеты,9847.0,3.36413e-06,2022-03-06
122,москва питер билеты,9755.0,3.44194e-06,2022-03-13
123,москва питер билеты,12297.0,4.15094e-06,2022-03-20
124,москва питер билеты,14389.0,4.97828e-06,2022-03-27
125,москва питер билеты,13994.0,4.82803e-06,2022-04-03
126,москва питер билеты,16130.0,5.5105e-06,2022-04-10
127,москва питер билеты,17379.0,6.05171e-06,2022-04-17
128,москва питер билеты,17776.0,6.25808e-06,2022-04-24
129,москва питер билеты,19035.0,7.06561e-06,2022-05-01
